id,title,genres,overview,release_date,poster_path,vote_average
950396,The Gorge,"['Romance', 'Science Fiction', 'Thriller']","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",2025-02-13,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,7.758
1149167,High Rollers,"['Action', 'Crime', 'Thriller']","Mason, a master thief, lives a dream life of riches with his crew and girlfriend Decker. When nemesis Salazar kidnaps Decker, Mason must attempt a high-stakes casino heist to save her, all while evading Salazar’s rivals and the FBI.",2025-03-14,/hHowAaChDjwueySmwVbsjHmpWa.jpg,7.5
1126166,Flight Risk,"['Action', 'Thriller', 'Crime']","A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",2025-01-22,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,6.1
1417677,Bill Burr: Drop Dead Years,['Comedy'],"In what might be his most personal and introspective hour yet, Bill offers hilarious takes on everything from male sadness to dating advice.",2025-03-14,/vBdVi94tI9AH3oNgNtVuHc6vYu7.jpg,8.2
1443695,Eyes Everywhere,['Documentary'],"Jodie, a police inspector, is tasked with finding out who sabotaged the technological system that governs every aspect of daily life: from transport to global security, from health care to management of essential services. Without a quick solution, hospitals will collapse, casualties will increase and the country could be plunged into an apocalyptic scenario. To carry out the investigation, Jodie must rely on her father Mark and an unlikely ally: Matt, a hacker with a criminal past. The clues seem to lead to a single culprit, Doctor Borghese, a respected psychologist who lost his job because of artificial intelligence. But is he really responsible, or is someone trying to frame him?
 The film explores, through interviews with experts and fictional scenarios, how technology is transforming cities, mobility, healthcare, sustainability and even space exploration.",2025-03-17,/inJjkPchqjXe3vLajI7MFVldUSb.jpg,0.0
1439890,Bert Kreischer: Lucky,['Comedy'],Losing 45 pounds. Getting parenting advice from Snoop Dogg. Bert Kreischer knows he's the luckiest guy around — and he's recounting his blessings.,2025-03-17,/Tuln36rarqdrSnXemkb7oBRmCM.jpg,0.0
1439837,The Last Goodbye,['Drama'],Two estranged siblings attempt to reconcile after the death of their younger brother.,2025-03-17,/zYDFxnKgWBTahFItkGo5Uyn8bLz.jpg,0.0
1435057,Sacrum and Profanum in Pievenai,['Documentary'],"Once a year, a quiet and secluded village in the north-western part of Lithuania comes alive to celebrate Catholic Easter, doing its best to preserve the vanishing ancient tradition of the Guardians of the Cross. With gentle humor observing the preparations of the local community for the vigil and immersing the audience in Easter night, the filmmakers raise questions about the relationship between the sacred and profane in the modern world.",2025-03-17,/u1I49qAgXCSGiwq8ixMULl9SwJg.jpg,0.0
1433719,High Ground,['Thriller'],"When a mysterious prisoner lands in his jail, a border town sheriff faces the wrath of a brutal cartel.",2025-03-17,/irnDcTiCvWy0sY4ynMpTL83WSyR.jpg,0.0
1392821,Gladiators,['Action'],"When a once great gladiator's betrothed is murdered, he vows to hunt down the killer. But when he discovers the murderer is no stranger, the gladiator must enter the Colosseum once more to avenge his bride.",2025-03-17,/3ecBMVWe2xRhHKcTcRkuqLk85jq.jpg,10.0
